品牌,型号,CADR 灰尘(m3/h),CADR 花粉,CADR 烟雾,高度(mm),宽度(mm),深度(mm),重量(kg),颜色,最小噪音(dB),最大噪音(dB),最小功率(W),最大功率(W),最大风量,材料,原产地,滤网寿命,滤网材料,滤网更新提醒,支持睡眠模式,支持遥控,支持定时,空气质量显示,风档,图片,数据来源
远大,TA100,,,,240,230,150,3.5,,,,,7,100,,,,,,,,,,1,http://2f.zol-img.com.cn/product/48_160x120/463/cerglFdLHfbFs.jpg,http://detail.zol.com.cn//249/248479/param.shtml
远大,TA100,,,,230,150,240,4,白色,,,,14,,,湖南长沙,,活性炭滤网,有,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010122/000000000101227712/fullimage/000000000101227712_1.jpg,http://product.suning.com/101227712.html
远大,TA1000,,,,848,320,230,20,,,,,20,1000,,,,,,,,,,1,http://2e.zol-img.com.cn/product/48_160x120/588/ceLRMrLo4VH9w.jpg,http://detail.zol.com.cn//249/248482/param.shtml
远大,TA1000,,,,850,320,230,21,,,50,,30,1000,,,,,,,,,,,http://2f.zol-img.com.cn/product/27_160x120/319/ceFJlnnrz0d2A.jpg,http://detail.zol.com.cn//175/174114/param.shtml
远大,TA1000,,,,320,230,850,21,白色,,,,62,,,湖南长沙,,活性炭滤网,有,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010122/000000000101227714/fullimage/000000000101227714_1.jpg,http://product.suning.com/101227714.html
远大,TA2000,,,,1560,320,230,50,白色,,53,,30,2000,金属制造，顶级汽车油漆涂装,,,,,,,,,,http://2e.zol-img.com.cn/product/27_160x120/312/ce1Pakaa6UEzI.jpg,http://detail.zol.com.cn//175/174112/param.shtml
远大,TA240,,,,,,,7,白色,,,,,240,金属制造，顶级汽车油漆涂装,,,,,,,,,,http://2e.zol-img.com.cn/product/27_160x120/282/ceDruZKT7W1Mw.jpg,http://detail.zol.com.cn//175/174100/param.shtml
远大,TA240,,,,550,230,150,5.7,,,,,,240,,,,,,,,,,,http://2f.zol-img.com.cn/product/27_160x120/193/ce7JWVLC9A8hY.jpg,http://detail.zol.com.cn//175/174094/param.shtml
远大,TA240,,,,230,170,500,7,白色,,,,24,,,湖南长沙,,活性炭滤网,有,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010122/000000000101227717/fullimage/000000000101227717_1.jpg,http://product.suning.com/101227717.html
远大,TA400,,,,750,230,150,9,,,45,,17,400,,,,,,,,,,,http://2f.zol-img.com.cn/product/27_160x120/343/cepTswMnhlSfY.jpg,http://detail.zol.com.cn//175/174116/param.shtml
远大,TA400,,,,230,150,750,9,白色,,,,33,,,湖南长沙,,活性炭滤网,有,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010122/000000000101227719/fullimage/000000000101227719_1.jpg,http://product.suning.com/101227719.html
远大,TB100,,,,240,250,170,3.7,,,,,5,100,,,,,,,,,,,http://2a.zol-img.com.cn/product/27_160x120/290/ceBppZUERh0ns.jpg,http://detail.zol.com.cn//175/174105/param.shtml
远大,TB100,,,,240,250,170,4,,,39,,7,100,,,,,,,,,,,http://2d.zol-img.com.cn/product/27_160x120/305/cetwB812caoCk.jpg,http://detail.zol.com.cn//175/174109/param.shtml
远大,TB100,,,,250,150,240,4,白色,,,,14,,,湖南长沙,,活性炭滤网,有,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010122/000000000101227721/fullimage/000000000101227721_1.jpg,http://product.suning.com/101227721.html
远大,TB240,,,,500,250,170,5.7,,,,,10,240,,,,,,,,,,1,http://2c.zol-img.com.cn/product/48_160x120/916/cedQvDa5c3Yc.jpg,http://detail.zol.com.cn//249/248486/param.shtml
远大,TB240,,,,500,250,170,6,,,41,,,240,,,,,,,,,,,http://2b.zol-img.com.cn/product/27_160x120/273/ceg5ytKCzB4NY.jpg,http://detail.zol.com.cn//175/174098/param.shtml
远大,TB240,,,,250,170,500,6,白色,,,,21,,,湖南长沙,,活性炭滤网,有,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010122/000000000101227723/fullimage/000000000101227723_1.jpg,http://product.suning.com/101227723.html
远大,TB400,,,,750,250,170,8,白色,,45,,15,400,金属制造，顶级汽车油漆涂装,,,,,,,,,,http://2e.zol-img.com.cn/product/29_160x120/538/ceLsSvBr3isjQ.jpg,http://detail.zol.com.cn//189/188176/param.shtml
远大,TB400,,,,745,250,170,8,,,,,15,400,,,,,,,,,,1,http://2a.zol-img.com.cn/product/29_160x120/546/cebO9JwjOMQQ.jpg,http://detail.zol.com.cn//189/188177/param.shtml
远大,TB400,,,,250,150,750,8,白色,,,,29,,,湖南长沙,,活性炭滤网,有,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010122/000000000101227725/fullimage/000000000101227725_1.jpg,http://product.suning.com/101227725.html
远大,TB800,,,,1500,250,170,17.5,,,,,20,800,,,,,,,,,,1,http://2c.zol-img.com.cn/product/48_160x120/646/ceLk90EXNkl6o.jpg,http://detail.zol.com.cn//249/248484/param.shtml
远大,TD50,,,,200,180,95,1.3,,,,,4,50,,,,,,,,,,,http://2b.zol-img.com.cn/product/27_160x120/309/ceJLlcx50OIU.jpg,http://detail.zol.com.cn//175/174111/param.shtml
连邦,LB-2008A,,,,213,576,423,6.2,,,,,35,,,,,,,,,,,,http://2a.zol-img.com.cn/product/134_160x120/680/ceWpP6YHPAQY.jpg,http://detail.zol.com.cn//381/380725/param.shtml
迪美,DM-550,,,,439,209,208,3.2,白色,,56,,,100,,,,,,,,,,,http://2f.zol-img.com.cn/product/133_160x120/719/ces4KgSenj3LU.jpg,http://detail.zol.com.cn//381/380268/param.shtml
迪美,DM-988A,,,,396,396,173,,红色,,29,,,,,,,,,true,,,,三,http://2d.zol-img.com.cn/product/133_160x120/75/ceDgFm66MD4Y.jpg,http://detail.zol.com.cn//381/380265/param.shtml
邦科尔,AB8610,,,,280,205,210,2.9,白色,,,,35,,,厦门,24.0,"HEPA滤网,活性炭滤网",无,支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010907/000000000109070856/fullimage/000000000109070856_1.jpg,http://product.suning.com/109070856.html
铿特,30180,,,,,,,5.87,灰色,39.7,42.0,,92.0,,ABS,中国,,,支持,true,,,,,http://img11.360buyimg.com/n1/g16/M00/00/13/rBEbRlNqHTEIAAAAAAT_XSJepDoAAAHtAApZBwABP91575.jpg,http://item.jd.com/924626.html
铿特,30525,,,,,,,9.9,灰色,29.6,48.0,,110.0,,ABS,中国,,,支持,true,,,,,http://img10.360buyimg.com/n1/g16/M00/00/13/rBEbRVNqHSEIAAAAAATeRl7FPRQAAAHswFdUqIABN5e588.jpg,http://item.jd.com/924625.html
铿特,30525,,,,640,425,295,9.9,灰色,,,,110,360,ABS工程塑胶,,,,,,,,,,http://2e.zol-img.com.cn/product/134_160x120/148/ce1kfU9spODAw.jpg,http://detail.zol.com.cn//381/380582/param.shtml
铿特,30770,,,,,,,7.6,灰色,37.0,45.0,,70.0,,ABS,中国,,,支持,true,,,,,http://img13.360buyimg.com/n1/g17/M00/00/13/rBEbSFNqHUAIAAAAAANmQ85kipUAAAHswFevoEAA2Zb039.jpg,http://item.jd.com/924628.html
铿特,30770,,,,790,275,250,7.6,灰色,37,45,,70,,ABS工程塑胶,,,,,,,,,,http://2c.zol-img.com.cn/product/134_160x120/248/ceDW9VMzxzO6.jpg,http://detail.zol.com.cn//381/380585/param.shtml
铿特,30790,,,,,,,5.05,灰色,37.0,45.0,,48.0,,ABS,中国,,,支持,true,,,,,http://img14.360buyimg.com/n1/g16/M00/00/13/rBEbRlNqHU8IAAAAAAOIwgp7AIIAAAHtAHiUXcAA4ja516.jpg,http://item.jd.com/924629.html
长城,8028,,,,190,170,45,2.000,银色,,,,60,,,中国广东深圳,24.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012078/000000000120782677/fullimage/000000000120782677_1.jpg,http://product.suning.com/120782677.html
长虹,KJ-202H,,,,350,160,480,4.8,白色,,,,56,205,,广东,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010976/000000000109768514/fullimage/000000000109768514_1.jpg,http://product.suning.com/109768514.html
长虹,KJ-301H,,,,350,205,576,5.7,白色,,,,56,254,,广东,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010981/000000000109818678/fullimage/000000000109818678_1.jpg,http://product.suning.com/109818678.html
长虹,KJ-402HS,,,,415,260,650,13,白色,,,,83,340,,广东,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010982/000000000109820870/fullimage/000000000109820870_1.jpg,http://product.suning.com/109820870.html
霍姆利德（Homeleader）,KJF-400A,,,,352,185,655,5.8,金色,,,,55,,,宁波慈溪,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010740/000000000107409513/fullimage/000000000107409513_1.jpg,http://product.suning.com/107409513.html
霍尼韦尔,18000 ,,,,,,,5.32,白色,20.0,50.0,,80.0,,ABS,墨西哥,,,支持,,,,,,http://img11.360buyimg.com/n1/g13/M09/13/1E/rBEhUlJw-HAIAAAAAAJDDZE7HosAAEytQNBKeIAAkMl996.jpg,http://item.jd.com/505241.html
霍尼韦尔,18000 ,221,,,350,385,270,5.32,,20,50,0,80,-1,,,-1,,,,,,,,http://img11.360buyimg.com/n1/g13/M09/13/1E/rBEhUlJw-HAIAAAAAAJDDZE7HosAAEytQNBKeIAAkMl996.jpg,http://item.jd.com/505241.html
霍尼韦尔,18250 ,,,,,,,7.2,白色,20.0,50.0,,95.0,,ABS,墨西哥,,,支持,,,,,,http://img12.360buyimg.com/n1/g16/M00/01/1C/rBEbRVNramgIAAAAAAU-n8Cm4hEAAAXlALFOlsABT63865.jpg,http://item.jd.com/505242.html
霍尼韦尔,18250 ,229,,,440,480,310,7.2,,20,50,0,95,-1,,,-1,,,,,,,,http://img12.360buyimg.com/n1/g16/M00/01/1C/rBEbRVNramgIAAAAAAU-n8Cm4hEAAAXlALFOlsABT63865.jpg,http://item.jd.com/505242.html
霍尼韦尔,18250,,,,480,360,530,9,白色,,,,50,,,美国,24.0,"HEPA滤网,活性炭滤网",有,不支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010844/000000000108448518/fullimage/000000000108448518_1.jpg,http://product.suning.com/108448518.html
霍尼韦尔,18250-CHN,,,,480,310,440,6.5,白色,,,,85,,,墨西哥,3.0,"HEPA滤网,活性炭滤网",有,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010650/000000000106503152/fullimage/000000000106503152_1.jpg,http://product.suning.com/106503152.html
霍尼韦尔,18400 ,,,,,,,7.48,白色,20.0,50.0,,95.0,,ABS,墨西哥,,,支持,,,,,,http://img13.360buyimg.com/n1/g13/M09/13/1E/rBEhU1Jw-H0IAAAAAAI4xL7qUlkAAEytgCqZlcAAjjc504.jpg,http://item.jd.com/505243.html
霍尼韦尔,18400 ,374,,,440,480,360,7.48,,20,50,0,95,-1,,,-1,,,,,,,,http://img13.360buyimg.com/n1/g13/M09/13/1E/rBEhU1Jw-H0IAAAAAAI4xL7qUlkAAEytgCqZlcAAjjc504.jpg,http://item.jd.com/505243.html
霍尼韦尔,18450 ,,,,,,,7.48,白色,20.0,50.0,,95.0,,ABS,墨西哥,,,支持,,,,,,http://img14.360buyimg.com/n1/g16/M00/01/1C/rBEbRVNranUIAAAAAAaq9DkxrX8AAAXlQCrurgABqsM371.jpg,http://item.jd.com/505244.html
霍尼韦尔,18450 ,331,,,440,480,360,7.48,,20,50,0,95,-1,,,-1,,,,,,,,http://img14.360buyimg.com/n1/g16/M00/01/1C/rBEbRVNranUIAAAAAAaq9DkxrX8AAAXlQCrurgABqsM371.jpg,http://item.jd.com/505244.html
霍尼韦尔,18450-CHN,,,,538,418,486,8.76,白色,,,,95,,,墨西哥,1.0,HEPA滤网,有,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010271/000000000102711248/fullimage/000000000102711248_1.jpg,http://product.suning.com/102711248.html
霍尼韦尔,18450-CHN,,,,538,350,420,8.76,白色,,,,95,,,墨西哥,3.0,"活性炭滤网,HEPA滤网",有,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010650/000000000106502454/fullimage/000000000106502454_1.jpg,http://product.suning.com/106502454.html
霍尼韦尔,904,,,,,,,1.55,白色,,,,35.0,,,中国,,,,,,,,,http://img14.360buyimg.com/n1/g16/M00/01/1C/rBEbRlNral8IAAAAAAWZJ6fyILcAAAXlAEU95sABZk_753.jpg,http://item.jd.com/505239.html
霍尼韦尔,HAP-801APCN,,,,,,,6.09,白色,,,,50.0,,,中国,,,支持,true,,,true,,http://img14.360buyimg.com/n1/g17/M00/00/0D/rBEbSVNwlxgIAAAAAAHb4hHQkLYAAASbQNSDAIAAdv6158.jpg,http://item.jd.com/1075164.html
霍尼韦尔,HHT-011APCN,,,,,,,2.44,白色,,,,35.0,,ABS,中国,,,支持,,,,,,http://img14.360buyimg.com/n1/g10/M00/1E/15/rBEQWFNneNAIAAAAAAItdgqROXEAAGA5QP6JWIAAi2O825.jpg,http://item.jd.com/1029294.html
霍尼韦尔,HHT-011APCN,,,,,,,2.44,,,,0,35,-1,,,-1,,,,,,,,http://img14.360buyimg.com/n1/g10/M00/1E/15/rBEQWFNneNAIAAAAAAItdgqROXEAAGA5QP6JWIAAi2O825.jpg,http://item.jd.com/1029294.html
霍尼韦尔,HPA-102,,,,388,264,394,3.67,黑色,,,,54,,,漳州,1.0,HEPA滤网,有,不支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010422/000000000104228854/fullimage/000000000104228854_1.jpg,http://product.suning.com/104228854.html
霍尼韦尔,HPA-102APCN,,,,,,,3.51,黑色,57.0,47.0,,54.0,,ABS,中国,,,支持,true,,,,,http://img10.360buyimg.com/n1/g12/M00/0F/0D/rBEQYVNneNwIAAAAAAICXeHKJqoAAFiywE9B4AAAgJ1459.jpg,http://item.jd.com/1029295.html
霾立净,MLJ-619A,,,,360,195,565,6.5,白色,,,,95,220,,中国浙江台州,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010859/000000000108590650/fullimage/000000000108590650_1.jpg,http://product.suning.com/108590650.html
霾立净,MLJ-658K,,,,329,205,569,8.1,白色,,,,48,200,,浙江台州,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010919/000000000109191022/fullimage/000000000109191022_1.jpg,http://product.suning.com/109191022.html
霾立净,MLJ-668,,,,329,205,569,8.1,白色,,,,48,200,,浙江台州,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010919/000000000109191967/fullimage/000000000109191967_1.jpg,http://product.suning.com/109191967.html
霾立净,MLJ-935,,,,329,205,569,8.1,黑色,,,,48,200,,浙江台州,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010919/000000000109194234/fullimage/000000000109194234_1.jpg,http://product.suning.com/109194234.html
韩国大宇（DAEWOO）,DOA-LT34CW,,,,236,258,312,2.2,白色,,,,5,,,韩国,18.0,HEPA滤网,无,不支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010789/000000000107894689/fullimage/000000000107894689_1.jpg,http://product.suning.com/107894689.html
韩国现代WACO,HYAP-201,,,,,,,10,红色,,,,30,,,韩国,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010736/000000000107367318/fullimage/000000000107367318_1.jpg,http://product.suning.com/107367318.html
韩帅,F6,,,,369,284,143,3.5,蓝色,,,,40,,,广东佛山,12.0,"HEPA滤网,活性炭滤网",无,支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010849/000000000108497929/fullimage/000000000108497929_1.jpg,http://product.suning.com/108497929.html
韩帅,F7,,,,520,320,205,5.6,白色,,,,220,,,广东佛山,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010849/000000000108499171/fullimage/000000000108499171_1.jpg,http://product.suning.com/108499171.html
飞利浦,50987GPXM,,,,148,264,262,1.6,,,,,,,,,,,,,,,,,http://2c.zol-img.com.cn/product/90_160x120/690/celgBHT8h38RI.jpg,http://detail.zol.com.cn//329/328675/param.shtml
飞利浦,AC4001,,,,350,212,368,3.9,白色,,,,46,150,,中国,12.0,HEPA滤网,有,不支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012097/000000000120972617/fullimage/000000000120972617_1.jpg,http://product.suning.com/120972617.html
飞利浦,AC4001/00,,,,,,,3.94,白色,,,,46.0,,ABS,中国,,,支持,true,,,,,http://img12.360buyimg.com/n1/g16/M00/02/0F/rBEbRlNsPr0IAAAAAARFXW35YJwAAAfCwCSBbIABEV1201.jpg,http://item.jd.com/931312.html
飞利浦,AC4001/00,176,,,350,212,368,3.94,,,,,46,-1,,中国,-1,,,,,,,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4001_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4001_00/prd
飞利浦,AC4001/00,,,,350,212,368,3.94,蓝色,,,,46,,,深圳,,HEPA滤网,有,不支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010406/000000000104062390/fullimage/000000000104062390_1.jpg,http://product.suning.com/104062390.html
飞利浦,AC4002,,,,535,331,198,5.31,,,,,40,,,,,,,true,,,,3,http://2c.zol-img.com.cn/product/54_160x120/420/ceq2sAUbizHC6.jpg,http://detail.zol.com.cn//262/261637/param.shtml
飞利浦,AC4004,,,,535,331,198,5.31,银杏色,25,42,,40,,,,,,,true,,,,,http://2b.zol-img.com.cn/product/54_160x120/799/ceoWAdLzel9DA.jpg,http://detail.zol.com.cn//262/261638/param.shtml
飞利浦,AC4005/00,,,,466,430,251,5.84,淡金色和深巧克力色,,,,30.0,,,中国,,,支持,true,,,true,,http://img10.360buyimg.com/n1/g17/M00/00/11/rBEbR1NqAegIAAAAAAJnHQLXBoMAAAG-QMAh6AAAmc1824.jpg,http://item.jd.com/988845.html
飞利浦,AC4005/00,311,,,466,430,251,,,,,,30,-1,,中国,-1,,,,,,,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4005_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4005_00/prd
飞利浦,AC4006/00,,,,535,345,190,5.3,香槟色,36.0,53.0,,40.0,,ABS,中国,,,支持,true,,,true,,http://img14.360buyimg.com/n1/g16/M00/01/1C/rBEbRVNrZnQIAAAAAAHcP08NhjwAAAXaAHcd-oAAdxX638.jpg,http://item.jd.com/492784.html
飞利浦,AC4006/00,150,150,,345,190,535,5.31,,36,53,,40,-1,ABS,中国,-1,,,,,,,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4006_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/new-home-air-purifier-ac4006_00/prd
飞利浦,AC4006/00,,,,535,345,190,5.31,,36,53,,40,150,ABS塑料,,,,,true,,,,1,http://2c.zol-img.com.cn/product/83_160x120/726/ceoyUsYGoEY.jpg,http://detail.zol.com.cn//318/317678/param.shtml
飞利浦,AC4012,,,,343,198,520,5.35,白色,,,,30,,,中国,8.0,HEPA滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012095/000000000120958140/fullimage/000000000120958140_1.jpg,http://product.suning.com/120958140.html
飞利浦,AC4012,,,,343,198,520,5.35,白色,,,,30,,,中国,8.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012082/000000000120822276/fullimage/000000000120822276_1.jpg,http://product.suning.com/120822276.html
飞利浦,AC4012/00,,,,520,343,198,5.35,白色,34.0,54.0,,30.0,,ABS,中国,,,支持,true,,,true,,http://img12.360buyimg.com/n1/g15/M00/19/08/rBEhWVNaN4IIAAAAAAEyYc02Sa8AAMY5QCJPs4AATJ5958.jpg,http://item.jd.com/513502.html
飞利浦,AC4012/00,,,,615,435,280,5.35,白色,,,,30,,机身材料：ABS塑料,,,,,true,,,true,,http://2b.zol-img.com.cn/product/86_160x120/545/ceGOBFIHFCnWA.jpg,http://detail.zol.com.cn//324/323337/param.shtml
飞利浦,AC4012/00,128,128,,343,198,520,7.25,,34,54,,30,-1,ABS,中国,-1,,,,,,,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4012_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4012_00/prd
飞利浦,AC4014,,,,715,440,275,,白色,35,61,,30,237,ABS塑料,,,,true,,,true,true,1,http://2e.zol-img.com.cn/product/101_160x120/58/ceAOspjV0McbA.jpg,http://detail.zol.com.cn//305/304948/param.shtml
飞利浦,AC4014,,,,,,,6.1,白色,,,,30,,,中国,12.0,HEPA滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010696/000000000106960414/fullimage/000000000106960414_1.jpg,http://product.suning.com/106960414.html
飞利浦,AC4014,,,,440,275,715,6.1,白色,,,,30,,,中国,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012012/000000000120123105/fullimage/000000000120123105_1.jpg,http://product.suning.com/120123105.html
飞利浦,AC4014/00,237,237,,350,196,623,8.1,,35,61,,30,-1,ABS,中国,-1,,,,,,,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4014_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4014_00/prd
飞利浦,AC4014SET,237,,,623,350,196,,白色,35.0,61.0,,30.0,,ABS,,,,,,,,,,http://img10.360buyimg.com/n1/jfs/t157/144/811852213/39957/6008e17f/539a9412N25265466.jpg,http://item.jd.com/1154010.html
飞利浦,AC4016,,,,715,440,275,8.35,香槟色,31,62,,30,224,ABS塑料,,,,true,,,true,true,,http://2e.zol-img.com.cn/product/101_160x120/76/cetXxO4Fpmtzc.jpg,http://detail.zol.com.cn//305/304950/param.shtml
飞利浦,AC4016,,,,440,335,718,8.1,金色,,,,30,,,中国,12.0,HEPA滤网,有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010734/000000000107349036/fullimage/000000000107349036_1.jpg,http://product.suning.com/107349036.html
飞利浦,AC4016/00,,,,,,,,香槟色,31.0,62.0,,30.0,,ABS,中国,,,支持,,,,,,http://img14.360buyimg.com/n1/g16/M00/02/1F/rBEbRVNsbBYIAAAAAAOUWA08bFcAAAlKwK2qdkAA5Rw878.jpg,http://item.jd.com/509769.html
飞利浦,AC4016/00,224,224,,350,196,623,9.92,,31,62,,30,-1,ABS,中国,-1,,,,,,,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4016_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/new-home-air-purifier-ac4016_00/prd
飞利浦,AC4025,,,,333,186,510,4.5,绿色,,,,30,150,,中国,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010713/000000000107131662/fullimage/000000000107131662_1.jpg,http://product.suning.com/107131662.html
飞利浦,AC4025/00,127,127,,333,186,510,6.1,,36,54,,30,-1,ABS,中国,-1,,,,,,,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4025_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4025_00/prd
飞利浦,AC4025/00,,,,510,333,186,4.5,,36,54,,30,,ABS塑料,,,,,true,,true,,三,http://2c.zol-img.com.cn/product/83_160x120/696/ce0YhGANLuad6.jpg,http://detail.zol.com.cn//318/317670/param.shtml
飞利浦,AC4025SET,127,,,510,333,186,4.5,白色+绿色,36.0,54.0,,30.0,,ABS,,,,,,,,,,http://img11.360buyimg.com/n1/jfs/t208/69/835961716/56420/bd80ff8b/539a9419Nc60d02e5.jpg,http://item.jd.com/1154016.html
飞利浦,AC4026,,,,,,,10,橙色,,,,50,150,,中国,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010713/000000000107131110/fullimage/000000000107131110_1.jpg,http://product.suning.com/107131110.html
飞利浦,AC4026,,,,,,,4.8,橙色,,,,30,,,中国,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010726/000000000107260578/fullimage/000000000107260578_1.jpg,http://product.suning.com/107260578.html
飞利浦,AC4026/00,,,,510,333,186,4.8,前盖：白；框边： 橙,39.0,54.0,,30.0,,ABS,中国,,,支持,,,,true,,http://img11.360buyimg.com/n1/g10/M00/1C/02/rBEQWVNaN6UIAAAAAAFd1d4RYnQAAFgHQPJkAUAAV3t236.jpg,http://item.jd.com/533511.html
飞利浦,AC4026/00,127,127,,333,186,510,6.28,,39,54,,30,-1,ABS,中国,-1,,,,,,,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4026_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/new-home-air-purifier-ac4026_00/prd
飞利浦,AC4026/00,,,,510,333,186,4.8,,39,54,,30,,ABS塑料,,,,,,,,,3,http://2b.zol-img.com.cn/product/83_160x120/707/ceZr4ZkKW1QpA.jpg,http://detail.zol.com.cn//318/317674/param.shtml
飞利浦,AC4030,,,,,,,0.314,珍珠白/香槟色,,,,2.7,,,中国,,,支持,,,,,,http://img11.360buyimg.com/n1/g17/M00/00/0F/rBEbR1Np7VoIAAAAAAFlmafUkqIAAAF7QKikzwAAWWx884.jpg,http://item.jd.com/960041.html
飞利浦,AC4030/00,,,,65,65,193,0.314,,38,43,,,-1,ABS,中国,-1,,,,,,,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4030_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4030_00/prd
飞利浦,AC4030/10,,,,65,65,193,0.314,,38,43,,,-1,ABS,中国,-1,,,,,,,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4030_10-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/air-purifier-ac4030_10/prd
飞利浦,AC4030/10,,,,65,193,65,0.314,灰色,,,,2,,,中国,,活性炭滤网,有,不支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010450/000000000104507344/fullimage/000000000104507344_1.jpg,http://product.suning.com/104507344.html
